Site,Start,End
R1Interior,7/4/2018,8/15/2018
R2Interior,7/5/2018,8/15/2018
R3Interior,7/6/2018,8/15/2018
23Interior,7/6/2018,8/14/2018
20Interior,7/6/2018,8/14/2018
9Interior,6/27/2018,8/7/2018
11Interior,6/27/2018,8/7/2018
15Interior,6/28/2018,8/7/2018
21Interior,6/29/2018,8/7/2018
22Interior,6/30/2018,8/14/2018
25Interior,6/29/2018,8/8/2018
29Interior,6/30/2018,8/8/2018
6Coast,6/5/2018,7/18/2018
EastCoast,6/7/2018,7/18/2018
SpringCoast,6/7/2018,7/18/2018
MaTreeCoast,6/9/2018,7/18/2018
GriffithsCoast,6/22/2018,7/20/2018
GCoast,6/22/2018,7/18/2018
9Coast,5/24/2018,7/17/2018
14Coast,5/23/2018,7/19/2018
23Coast,5/24/2018,7/19/2018
24Coast,5/25/2018,7/19/2018
27Coast,5/30/2018,7/19/2018
20Coast,6/1/2018,7/17/2018
